mWeb URL,In_App URL,http Status
https://pages.ebay.com/promo/2020/0330/REARU.html/,https://pages.ebay.com/promo/2020/0330/REARU_app.html,200
https://pages.ebay.com/coupon/CPNN1/index.html/,https://pages.ebay.com/coupon/CPNN1/index_app.html,200
https://pages.ebay.co.uk/vouchers/REAC/index.html/,https://pages.ebay.co.uk/vouchers/REAC/index_app.html,404
https://pages.ebay.com/coupon/CPNN1/index.html/,https://pages.ebay.com/coupon/CPNN1/index_app.html,200
https://pages.ebay.co.uk/vouchers/REAC/index.html/,https://pages.ebay.co.uk/vouchers/REAC/index_app.html,404
https://pages.ebay.it/buono_sconto/index.html/,https://pages.ebay.it/buono_sconto/index_app.html,200
https://pages.ebay.co.uk/vouchers/REAC/index.html/,https://pages.ebay.co.uk/vouchers/REAC/index_app.html,404
https://pages.ebay.co.uk/vouchers/REAC/index.html/,https://pages.ebay.co.uk/vouchers/REAC/index_app.html,404
https://pages.ebay.com/promo/2019/0502/REAPT.html/,https://pages.ebay.com/promo/2019/0502/REAPT_app.html,200
https://pages.ebay.es/vouchers/REAC/index.html/,https://pages.ebay.es/vouchers/REAC/index_app.html,200
https://pages.ebay.com.au/Buyer_coupons/promotional_offers/index.html/,https://pages.ebay.com.au/Buyer_coupons/promotional_offers/index_app.html,200
https://pages.ebay.com.au/Buyer_coupons/promotional_offers/index.html/,https://pages.ebay.com.au/Buyer_coupons/promotional_offers/index_app.html,200
https://pages.ebay.de/gutscheine/all/index.html/,https://pages.ebay.de/gutscheine/all/index_app.html,200
https://pages.ebay.de/gutscheine/all/index.html/,https://pages.ebay.de/gutscheine/all/index_app.html,200
https://pages.ebay.co.uk/coupons/2020/M9283/index.html/,https://pages.ebay.co.uk/coupons/2020/M9283/index_app.html,200
https://pages.ebay.de/gutscheine/all/index.html/,https://pages.ebay.de/gutscheine/all/index_app.html,200
https://pages.ebay.co.uk/coupons/2019/JRSOE6/index.html/,https://pages.ebay.co.uk/coupons/2019/JRSOE6/index_app.html,200
